uspc_class,only_year,cited_num
2,2004,156
2,2005,698
2,2006,858
2,2007,1159
2,2008,623
2,2009,536
2,2010,551
2,2011,452
2,2012,283
2,2013,21
4,2004,42
4,2005,217
4,2006,293
4,2007,341
4,2008,194
4,2009,174
4,2010,161
4,2011,143
4,2012,99
5,2004,36
5,2005,353
5,2006,1362
5,2007,1582
5,2008,1527
5,2009,1046
5,2010,970
5,2011,1066
5,2012,560
5,2013,33
7,2007,8
7,2008,57
7,2009,20
7,2010,4
7,2011,24
7,2012,2
8,2004,25
8,2005,99
8,2006,226
8,2007,261
8,2008,380
8,2009,466
8,2010,178
8,2011,83
8,2012,312
8,2013,19
12,2005,1
12,2006,29
12,2007,17
12,2008,56
12,2009,66
12,2010,66
12,2011,29
12,2012,13
14,2005,4
14,2006,34
14,2007,48
14,2008,133
14,2009,41
14,2010,90
14,2011,48
14,2012,37
14,2013,2
15,2004,841
15,2005,998
15,2006,1571
15,2007,1950
15,2008,1468
15,2009,1120
15,2010,1673
15,2011,1354
15,2012,429
15,2013,50
16,2004,9
16,2005,89
16,2006,368
16,2007,811
16,2008,884
16,2009,276
16,2010,489
16,2011,499
16,2012,209
16,2013,50
19,2004,1
19,2005,53
19,2006,7
19,2007,11
19,2008,28
19,2009,8
19,2010,4
19,2011,5
19,2012,18
23,2005,6
23,2006,1
23,2007,44
23,2008,3
23,2009,1
23,2010,6
23,2011,3
23,2012,1
24,2004,1
24,2005,55
24,2006,419
24,2007,1112
24,2008,402
24,2009,555
24,2010,449
24,2011,451
24,2012,206
24,2013,13
26,2006,17
26,2007,2
26,2009,1
26,2010,1
26,2012,2
27,2005,4
27,2006,4
27,2007,19
27,2008,73
27,2009,37
27,2010,10
27,2011,56
27,2012,8
28,2006,37
28,2007,26
28,2008,13
28,2009,17
28,2010,27
28,2011,7
28,2012,8
29,2004,271
29,2005,1084
29,2006,2584
29,2007,3566
29,2008,2650
29,2009,1979
29,2010,2302
29,2011,1974
29,2012,839
29,2013,18
30,2004,52
30,2005,207
30,2006,358
30,2007,680
30,2008,520
30,2009,366
30,2010,488
30,2011,251
30,2012,107
30,2013,26
33,2005,19
33,2006,106
33,2007,994
33,2008,1528
33,2009,921
33,2010,496
33,2011,673
33,2012,599
33,2013,27
34,2004,21
34,2005,287
34,2006,887
34,2007,1144
34,2008,606
34,2009,141
34,2010,369
34,2011,436
34,2012,109
34,2013,37
36,2004,47
36,2005,258
36,2006,1293
36,2007,1821
36,2008,829
36,2009,760
36,2010,988
36,2011,367
36,2012,207
36,2013,16
37,2004,12
37,2005,111
37,2006,298
37,2007,559
37,2008,441
37,2009,199
37,2010,213
37,2011,70
37,2012,100
38,2004,19
38,2005,1
38,2006,1
38,2007,51
38,2008,30
38,2009,16
38,2010,35
38,2011,45
38,2012,10
40,2004,12
40,2005,103
40,2006,194
40,2007,546
40,2008,407
40,2009,188
40,2010,205
40,2011,236
40,2012,180
40,2013,23
42,2004,99
42,2005,315
42,2006,574
42,2007,897
42,2008,815
42,2009,569
42,2010,552
42,2011,1169
42,2012,399
42,2013,6
43,2004,10
43,2005,82
43,2006,148
43,2007,344
43,2008,449
43,2009,201
43,2010,205
43,2011,98
43,2012,103
43,2013,3
44,2004,92
44,2005,113
44,2006,152
44,2007,210
44,2008,158
44,2009,132
44,2010,175
44,2011,190
44,2012,108
44,2013,40
47,2004,11
47,2005,94
47,2006,130
47,2007,210
47,2008,259
47,2009,210
47,2010,280
47,2011,166
47,2012,129
47,2013,6
48,2004,18
48,2005,64
48,2006,284
48,2007,334
48,2008,157
48,2009,394
48,2010,283
48,2011,10
48,2012,39
48,2013,1
49,2004,72
49,2005,196
49,2006,335
49,2007,391
49,2008,267
49,2009,228
49,2010,352
49,2011,359
49,2012,169
49,2013,12
51,2004,3
51,2005,34
51,2006,14
51,2007,112
51,2008,82
51,2009,58
51,2010,112
51,2011,53
51,2012,16
51,2013,1
52,2004,768
52,2005,1943
52,2006,2556
52,2007,4362
52,2008,3036
52,2009,2357
52,2010,2608
52,2011,2916
52,2012,1874
52,2013,345
53,2004,129
53,2005,204
53,2006,315
53,2007,539
53,2008,889
53,2009,706
53,2010,508
53,2011,123
53,2012,167
54,2007,5
54,2008,7
54,2009,7
54,2010,5
54,2012,1
55,2004,52
55,2005,168
55,2006,1035
55,2007,1875
55,2008,1436
55,2009,884
55,2010,768
55,2011,528
55,2012,490
55,2013,42
56,2004,44
56,2005,106
56,2006,288
56,2007,297
56,2008,576
56,2009,692
56,2010,269
56,2011,217
56,2012,172
56,2013,5
57,2005,3
57,2006,121
57,2007,42
57,2008,67
57,2009,299
57,2010,76
57,2011,76
57,2012,47
57,2013,12
59,2005,3
59,2006,15
59,2007,76
59,2008,109
59,2009,106
59,2010,29
59,2011,26
59,2012,40
59,2013,15
60,2004,384
60,2005,2137
60,2006,5782
60,2007,5197
60,2008,2925
60,2009,3401
60,2010,3023
60,2011,2174
60,2012,740
60,2013,133
62,2004,301
62,2005,1198
62,2006,2175
62,2007,2117
62,2008,1862
62,2009,1379
62,2010,1350
62,2011,535
62,2012,377
63,2005,7
63,2006,33
63,2007,43
63,2008,20
63,2009,34
63,2010,13
63,2011,20
63,2012,15
63,2013,3
65,2004,14
65,2005,183
65,2006,149
65,2007,191
65,2008,181
65,2009,84
65,2010,203
65,2011,266
65,2012,146
65,2013,3
66,2004,63
66,2005,11
66,2006,82
66,2007,68
66,2008,116
66,2009,128
66,2010,32
66,2011,132
66,2012,36
68,2004,40
68,2005,123
68,2006,207
68,2007,155
68,2008,150
68,2009,178
68,2010,120
68,2011,86
68,2012,34
69,2006,5
69,2007,3
69,2008,1
69,2009,1
69,2011,3
69,2012,3
70,2004,27
70,2005,92
70,2006,226
70,2007,587
70,2008,716
70,2009,358
70,2010,336
70,2011,329
70,2012,156
71,2004,14
71,2005,19
71,2006,92
71,2007,212
71,2008,61
71,2009,5
71,2010,70
71,2011,59
71,2012,77
71,2013,1
72,2004,2
72,2005,61
72,2006,319
72,2007,438
72,2008,400
72,2009,467
72,2010,417
72,2011,242
72,2012,122
73,2004,134
73,2005,441
73,2006,1992
73,2007,6010
73,2008,6270
73,2009,3836
73,2010,4339
73,2011,2869
73,2012,767
73,2013,64
74,2004,218
74,2005,368
74,2006,785
74,2007,1134
74,2008,868
74,2009,591
74,2010,974
74,2011,745
74,2012,101
74,2013,38
75,2004,24
75,2005,70
75,2006,166
75,2007,406
75,2008,206
75,2009,222
75,2010,331
75,2011,120
75,2012,29
76,2004,9
76,2005,53
76,2006,28
76,2007,28
76,2008,17
76,2009,10
76,2011,23
76,2012,13
81,2004,13
81,2005,17
81,2006,107
81,2007,648
81,2008,727
81,2009,372
81,2010,355
81,2011,293
81,2012,77
81,2013,6
82,2004,12
82,2005,30
82,2006,81
82,2007,85
82,2008,49
82,2009,22
82,2010,123
82,2011,29
82,2012,15
83,2004,304
83,2005,218
83,2006,304
83,2007,382
83,2008,462
83,2009,196
83,2010,256
83,2011,177
83,2012,131
84,2004,26
84,2005,256
84,2006,422
84,2007,861
84,2008,1552
84,2009,1088
84,2010,552
84,2011,747
84,2012,322
84,2013,24
86,2005,5
86,2006,11
86,2007,4
86,2008,11
86,2009,7
86,2011,17
86,2012,3
86,2013,5
87,2006,10
87,2007,6
87,2008,31
87,2009,24
87,2010,6
87,2011,76
87,2012,72
89,2004,26
89,2005,140
89,2006,231
89,2007,797
89,2008,522
89,2009,305
89,2010,427
89,2011,589
89,2012,200
89,2013,12
91,2004,2
91,2005,25
91,2006,14
91,2007,61
91,2008,27
91,2009,22
91,2010,30
91,2011,31
91,2012,6
92,2004,4
92,2005,4
92,2006,35
92,2007,213
92,2008,123
92,2009,95
92,2010,38
92,2011,49
92,2012,7
95,2004,6
95,2005,95
95,2006,812
95,2007,1489
95,2008,1832
95,2009,607
95,2010,877
95,2011,760
95,2012,337
95,2013,30
96,2004,11
96,2005,22
96,2006,498
96,2007,707
96,2008,456
96,2009,431
96,2010,441
96,2011,379
96,2012,169
96,2013,10
99,2004,126
99,2005,522
99,2006,782
99,2007,639
99,2008,224
99,2009,239
99,2010,323
99,2011,130
99,2012,53
100,2004,2
100,2005,6
100,2006,28
100,2007,72
100,2008,77
100,2009,64
100,2010,69
100,2011,41
100,2012,33
101,2004,49
101,2005,47
101,2006,188
101,2007,221
101,2008,221
101,2009,148
101,2010,166
101,2011,95
101,2012,37
101,2013,2
102,2004,38
102,2005,129
102,2006,138
102,2007,337
102,2008,326
102,2009,215
102,2010,386
102,2011,340
102,2012,154
104,2004,17
104,2005,20
104,2006,84
104,2007,130
104,2008,155
104,2009,122
104,2010,143
104,2011,152
104,2012,61
104,2013,19
105,2004,4
105,2005,19
105,2006,150
105,2007,214
105,2008,314
105,2009,121
105,2010,145
105,2011,151
105,2012,38
105,2013,8
106,2004,306
106,2005,280
106,2006,734
106,2007,1102
106,2008,661
106,2009,970
106,2010,890
106,2011,504
106,2012,340
106,2013,61
108,2004,57
108,2005,159
108,2006,220
108,2007,508
108,2008,240
108,2009,73
108,2010,107
108,2011,342
108,2012,271
108,2013,3
109,2005,2
109,2006,15
109,2007,12
109,2008,10
109,2009,11
109,2010,11
109,2011,14
109,2012,45
110,2004,2
110,2005,69
110,2006,131
110,2007,63
110,2008,35
110,2009,24
110,2010,60
110,2011,20
110,2012,9
111,2004,5
111,2005,6
111,2006,32
111,2007,171
111,2008,262
111,2009,352
111,2010,279
111,2011,183
111,2012,67
112,2005,26
112,2006,27
112,2007,219
112,2008,238
112,2009,48
112,2010,106
112,2011,68
112,2012,94
112,2013,3
114,2004,1
114,2005,53
114,2006,164
114,2007,211
114,2008,430
114,2009,261
114,2010,211
114,2011,190
114,2012,65
114,2013,107
116,2005,21
116,2006,21
116,2007,140
116,2008,174
116,2009,83
116,2010,72
116,2011,64
116,2012,24
117,2004,9
117,2005,120
117,2006,376
117,2007,322
117,2008,201
117,2009,179
117,2010,105
117,2011,92
117,2012,70
117,2013,2
118,2004,467
118,2005,682
118,2006,1348
118,2007,834
118,2008,515
118,2009,568
118,2010,573
118,2011,335
118,2012,129
118,2013,7
119,2004,29
119,2005,81
119,2006,533
119,2007,882
119,2008,735
119,2009,335
119,2010,394
119,2011,372
119,2012,294
119,2013,12
122,2005,28
122,2006,87
122,2007,207
122,2008,122
122,2009,117
122,2010,29
122,2011,4
123,2004,8
123,2005,393
123,2006,1044
123,2007,2936
123,2008,4777
123,2009,2809
123,2010,3238
123,2011,1163
123,2012,1314
123,2013,37
124,2004,6
124,2005,140
124,2006,323
124,2007,536
124,2008,486
124,2009,306
124,2010,279
124,2011,391
124,2012,119
124,2013,9
125,2005,24
125,2006,31
125,2007,62
125,2008,47
125,2009,16
125,2010,53
125,2011,25
125,2012,7
126,2004,35
126,2005,223
126,2006,347
126,2007,409
126,2008,364
126,2009,372
126,2010,284
126,2011,136
126,2012,10
127,2006,28
127,2007,43
127,2008,61
127,2009,36
127,2010,26
127,2011,28
127,2012,32
128,2004,1428
128,2005,3142
128,2006,5258
128,2007,3191
128,2008,3476
128,2009,2777
128,2010,2226
128,2011,1099
128,2012,1180
128,2013,185
131,2004,73
131,2005,215
131,2006,471
131,2007,865
131,2008,113
131,2009,407
131,2010,342
131,2011,515
131,2012,107
132,2004,2
132,2005,102
132,2006,101
132,2007,164
132,2008,77
132,2009,66
132,2010,135
132,2011,211
132,2012,55
132,2013,5
134,2004,67
134,2005,253
134,2006,488
134,2007,941
134,2008,476
134,2009,505
134,2010,479
134,2011,198
134,2012,133
134,2013,40
135,2004,31
135,2005,48
135,2006,119
135,2007,307
135,2008,402
135,2009,335
135,2010,219
135,2011,247
135,2012,105
136,2004,286
136,2005,606
136,2006,620
136,2007,541
136,2008,739
136,2009,539
136,2010,375
136,2011,225
136,2012,164
136,2013,1
137,2004,88
137,2005,460
137,2006,1033
137,2007,1614
137,2008,993
137,2009,807
137,2010,1456
137,2011,882
137,2012,148
137,2013,51
138,2004,66
138,2005,55
138,2006,129
138,2007,235
138,2008,221
138,2009,339
138,2010,130
138,2011,169
138,2012,72
138,2013,3
139,2006,53
139,2007,82
139,2008,151
139,2009,123
139,2010,36
139,2011,34
139,2012,38
140,2006,27
140,2007,10
140,2008,15
140,2009,7
140,2010,18
141,2004,12
141,2005,175
141,2006,1141
141,2007,875
141,2008,412
141,2009,491
141,2010,643
141,2011,298
141,2012,289
144,2005,23
144,2006,76
144,2007,130
144,2008,179
144,2009,99
144,2010,27
144,2011,61
144,2012,9
148,2004,76
148,2005,339
148,2006,416
148,2007,399
148,2008,304
148,2009,224
148,2010,296
148,2011,278
148,2012,143
149,2004,16
149,2005,18
149,2006,24
149,2007,20
149,2008,48
149,2009,9
149,2010,12
149,2011,16
149,2012,34
149,2013,2
150,2004,13
150,2005,7
150,2006,34
150,2007,29
150,2008,38
150,2009,10
150,2010,12
150,2011,14
150,2012,3
152,2004,1
152,2005,56
152,2006,166
152,2007,243
